City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kenora,49.8167,-94.4337,24.8,100,90,2.3,CA,1610163378
cherskiy,68.75,161.3,-21.55,88,85,2.73,RU,1610163379
shubarkuduk,49.1447,56.4872,24.39,96,100,15.01,KZ,1610163379
syracuse,37.0881,15.2792,59.0,94,40,4.61,IT,1610163379
hilo,19.7297,-155.09,77.0,69,40,5.75,US,1610163380
hobyo,5.3505,48.5268,74.64,70,4,19.91,SO,1610163380
grand gaube,-20.0064,57.6608,79.0,82,13,8.99,MU,1610163380
fukue,32.6881,128.8419,35.6,87,75,9.22,JP,1610163380
lavrentiya,65.5833,-171.0,-12.84,83,0,4.03,RU,1610163380
thompson,55.7435,-97.8558,5.0,85,1,2.3,CA,1610163381
honningsvag,70.9821,25.9704,24.31,94,8,23.13,NO,1610163381
katherine,-14.4667,132.2667,95.0,41,35,5.75,AU,1610163381
solwezi,-12.1688,26.3894,62.44,98,100,6.78,ZM,1610163381
srednekolymsk,67.45,153.6833,-27.22,85,90,1.5,RU,1610163381
chimbote,-9.0853,-78.5783,69.48,86,74,7.07,PE,1610163382
butaritari,3.0707,172.7902,81.3,81,32,19.42,KI,1610163196
hofn,64.2539,-15.2082,17.87,84,3,19.28,IS,1610163382
chuy,-33.6971,-53.4616,63.54,82,0,4.14,UY,1610163364
kaitangata,-46.2817,169.8464,62.01,60,60,17.0,NZ,1610163383
khatanga,71.9667,102.5,-17.36,88,100,7.38,RU,1610163383
mezen,65.8522,44.24,-8.79,90,28,4.45,RU,1610163383
sao filipe,14.8961,-24.4956,73.22,76,78,13.18,CV,1610163383
mandurah,-32.55,115.7,99.0,31,80,14.97,AU,1610163383
bethel,41.3712,-73.414,25.0,68,1,3.44,US,1610163325
shimoda,34.6667,138.95,42.8,39,20,13.8,JP,1610163328
popondetta,-8.7537,148.2534,91.26,54,99,5.77,PG,1610163384
livingston,55.9029,-3.5226,30.0,86,0,6.91,GB,1610163384
esperance,-33.8667,121.9,98.6,12,94,12.66,AU,1610163384
satipo,-11.2522,-74.6386,67.78,74,0,1.97,PE,1610163385
kidal,18.4411,1.4078,72.77,19,0,9.95,ML,1610163385
narsaq,60.9167,-46.05,42.8,39,90,21.85,GL,1610163385
kokopo,-4.352,152.2633,85.48,57,100,4.32,PG,1610163385
mercedes,-34.6515,-59.4307,73.99,70,87,1.01,AR,1610163385
east london,-33.0153,27.9116,71.6,94,20,3.44,ZA,1610163386
huarmey,-10.0681,-78.1522,70.52,84,96,7.25,PE,1610163386
clyde river,70.4692,-68.5914,-4.0,77,90,4.61,CA,1610163386
novoilinsk,51.6829,108.7143,8.85,88,54,9.42,RU,1610163386
bontang,0.1333,117.5,86.49,66,44,5.86,ID,1610163386
yar-sale,66.8333,70.8333,-1.7,93,94,5.21,RU,1610163387
bonavista,48.6499,-53.1147,36.0,100,100,6.91,CA,1610163387
santa maria,-29.6842,-53.8069,69.8,64,0,4.61,BR,1610163130
oranjemund,-28.55,16.4333,61.11,93,20,10.42,NA,1610163387
chokurdakh,70.6333,147.9167,-21.48,88,92,3.49,RU,1610163388
agadez,19.75,10.25,66.27,25,0,7.63,NE,1610163388
zachary,30.6485,-91.1565,43.0,61,90,9.22,US,1610163388
upernavik,72.7868,-56.1549,8.06,74,100,8.5,GL,1610163388
antofagasta,-23.65,-70.4,66.2,77,0,8.05,CL,1610163388
goundam,16.4145,-3.6708,72.18,19,0,7.54,ML,1610163389
beloha,-25.1667,45.05,77.79,82,11,6.91,MG,1610163389
pevek,69.7008,170.3133,-20.22,89,60,3.51,RU,1610163389
tuktoyaktuk,69.4541,-133.0374,1.4,85,20,4.61,CA,1610163389
soyo,-6.1349,12.3689,76.46,87,19,7.43,AO,1610163390
ahipara,-35.1667,173.1667,72.36,71,4,6.91,NZ,1610163390
upala,10.8979,-85.0145,78.8,69,0,9.22,CR,1610163390
isangel,-19.55,169.2667,82.4,89,90,6.24,VU,1610163390
bonthe,7.5264,-12.505,77.61,89,1,5.1,SL,1610163390
abasolo,20.45,-101.5167,59.0,44,40,4.61,MX,1610163391
kahului,20.8947,-156.47,80.6,57,20,11.5,US,1610163195
villahermosa,17.9833,-92.9167,68.0,100,75,3.62,MX,1610163133
poronaysk,49.2167,143.1167,-5.33,84,94,7.61,RU,1610163094
lincoln,40.8,-96.667,28.0,88,80,1.68,US,1610163243
tuatapere,-46.1333,167.6833,61.0,72,87,15.01,NZ,1610163392
kungurtug,50.5994,97.5228,-7.33,83,100,0.6,RU,1610163392
vao,-22.6667,167.4833,77.23,86,100,20.47,NC,1610163392
tura,25.5198,90.2201,74.93,44,68,1.25,IN,1610163393
allapalli,19.4167,80.0667,79.3,43,0,2.17,IN,1610163393
riviere-au-renard,48.9957,-64.3971,30.2,74,90,8.05,CA,1610163393
faanui,-16.4833,-151.75,81.25,69,7,6.11,PF,1610163393
auki,-8.7676,160.7034,85.3,67,79,3.29,SB,1610163393
volksrust,-27.3654,29.8818,61.05,81,64,0.67,ZA,1610163394
fairbanks,64.8378,-147.7164,15.01,85,20,2.06,US,1610163312
orsha,54.5153,30.4053,25.02,98,100,9.24,BY,1610163394
ayr,55.4627,-4.6339,21.2,86,0,6.91,GB,1610163394
grindavik,63.8424,-22.4338,19.4,63,20,17.27,IS,1610163395
victoria point,-27.5833,153.3,78.01,63,97,13.0,AU,1610163395
albanel,48.8832,-72.4487,10.4,67,1,16.11,CA,1610163395
ponta do sol,32.6667,-17.1,48.99,77,40,5.01,PT,1610163395
castro,-24.7911,-50.0119,64.17,97,91,7.18,BR,1610163255
vaitape,-16.5167,-151.75,81.07,69,2,5.7,PF,1610163396
comodoro rivadavia,-45.8667,-67.5,64.4,45,0,6.91,AR,1610163103
daru,-9.0763,143.2092,87.31,64,98,5.39,PG,1610163396
lagoa formosa,-18.7786,-46.4075,69.01,100,100,2.73,BR,1610163396
wlodawa,51.55,23.55,28.0,100,100,6.62,PL,1610163396
tucupita,9.0622,-62.051,71.33,98,82,1.9,VE,1610163397
chiredzi,-21.05,31.6667,72.61,88,51,3.49,ZW,1610163397
sao jose da coroa grande,-8.8978,-35.1478,77.31,82,78,9.04,BR,1610163397
pisco,-13.7,-76.2167,69.8,83,0,8.05,PE,1610163397
cockburn town,21.4612,-71.1419,78.21,79,57,15.37,TC,1610163204
merauke,-8.4667,140.3333,85.06,70,100,7.14,ID,1610163398
ribeira grande,38.5167,-28.7,50.0,71,20,8.05,PT,1610163207
quatre cocos,-20.2078,57.7625,79.0,83,40,12.66,MU,1610163286
ibb,13.9667,44.1833,53.08,52,72,2.53,YE,1610163399
thanh hoa,19.8,105.7667,51.82,42,100,9.53,VN,1610163354
muyezerskiy,63.9333,31.65,-4.18,92,82,2.53,RU,1610163399
alice springs,-23.7,133.8833,89.6,20,75,14.97,AU,1610163399
kabalo,-6.05,26.9167,67.06,98,100,2.26,CD,1610163399
mabaruma,8.2,-59.7833,72.72,98,95,2.39,GY,1610163400
severo-yeniseyskiy,60.3725,93.0408,-3.01,91,100,3.51,RU,1610163400
ust-tsilma,65.441,52.1498,-11.2,89,12,3.2,RU,1610163400
kilindoni,-7.9139,39.6668,81.0,79,99,15.21,TZ,1610163400
tambura,5.6,27.4667,67.05,43,29,3.78,SS,1610163400
plouzane,48.3833,-4.6167,33.8,93,0,6.91,FR,1610163401
eenhana,-17.4667,16.3333,73.4,88,99,5.75,NA,1610163401
orillia,44.6087,-79.4207,23.0,68,97,6.91,CA,1610163240
constitucion,-35.3333,-72.4167,53.2,78,53,5.44,CL,1610163402
biskamzha,53.4497,89.5272,-4.41,86,97,3.98,RU,1610163402
omboue,-1.5746,9.2618,75.07,93,15,3.89,GA,1610163402
avera,33.194,-82.5271,41.0,88,90,4.61,US,1610163402
lima,-12.0432,-77.0282,69.8,83,0,12.66,PE,1610163158
kieta,-6.2167,155.6333,86.27,55,99,3.89,PG,1610163393
biloela,-24.4167,150.5,78.85,64,100,15.01,AU,1610163403
berkak,62.825,10.0118,17.4,85,25,9.91,NO,1610163403
tiarei,-17.5333,-149.3333,84.2,70,20,9.22,PF,1610163404
saldanha,-33.0117,17.9442,60.8,88,0,5.75,ZA,1610163404
orcopampa,-15.2661,-72.3417,45.1,70,100,2.8,PE,1610163404
evensk,61.95,159.2333,3.0,85,31,11.99,RU,1610163404
socorro,31.6546,-106.3033,50.0,21,1,7.7,US,1610163239
korla,41.7597,86.1469,17.87,88,88,4.12,CN,1610163405
sinnamary,5.3833,-52.95,77.88,88,99,12.06,GF,1610163405
sistranda,63.7256,8.834,24.8,86,0,17.27,NO,1610163405
bintulu,3.1667,113.0333,86.0,84,40,3.44,MY,1610163405
luganville,-15.5333,167.1667,84.2,76,100,5.7,VU,1610163406
moerai,-22.4333,-151.3333,79.02,78,24,17.72,PF,1610163406
gillette,44.2911,-105.5022,30.2,93,90,3.44,US,1610163407
hirara,24.8,125.2833,53.6,62,75,11.5,JP,1610163379
nhulunbuy,-12.2333,136.7667,89.6,66,75,9.22,AU,1610163407
bonanza,14.0289,-84.591,65.88,96,49,2.64,NI,1610163407
mizdah,31.4451,12.9801,60.33,42,0,5.79,LY,1610163408
komsomolskiy,40.4272,71.7189,21.2,73,75,4.61,UZ,1610163408
karup,56.3067,9.1684,34.0,100,90,5.75,DK,1610163408
svetlogorsk,52.6333,29.7333,27.25,98,90,7.85,BY,1610163408
bay roberts,47.5999,-53.2648,35.01,1,100,17.9,CA,1610163408
salalah,17.0151,54.0924,68.0,52,0,6.91,OM,1610163409
saint-augustin,51.226,-58.6502,36.16,82,95,15.75,CA,1610163203
portel,-1.9356,-50.8211,75.78,90,98,5.53,BR,1610163409
yulara,-25.2406,130.9889,95.0,14,0,13.8,AU,1610163409
deputatskiy,69.3,139.9,-20.07,88,96,2.21,RU,1610163410
epe,6.5841,3.9834,77.83,91,61,3.91,NG,1610163410
grootfontein,-19.5667,18.1167,65.98,90,96,2.28,NA,1610163410
hay river,60.8156,-115.7999,19.4,79,20,11.5,CA,1610163410
lagos,6.5833,3.75,78.8,36,20,2.3,NG,1610163359
galesong,-5.3166,119.3661,84.2,79,20,6.91,ID,1610163411
ust-ilimsk,58.0006,102.6619,-11.31,87,100,4.94,RU,1610163411
dingle,10.9995,122.6711,81.27,82,75,16.98,PH,1610163411
prainha,-1.8,-53.48,73.98,95,100,2.33,BR,1610163412
klaksvik,62.2266,-6.589,44.6,93,75,21.85,FO,1610163386
kruisfontein,-34.0033,24.7314,69.01,92,23,3.49,ZA,1610163412
yeppoon,-23.1333,150.7333,73.4,83,90,11.5,AU,1610163412
vila do maio,15.1333,-23.2167,71.6,78,75,16.11,CV,1610163412
plettenberg bay,-34.0527,23.3716,67.73,86,19,3.31,ZA,1610163413
pouembout,-21.1333,164.9,85.53,73,83,2.19,NC,1610163413
tahoua,14.8888,5.2692,71.6,24,0,6.91,NE,1610163413
kloulklubed,7.0419,134.2556,84.2,79,75,6.91,PW,1610163328
tsogni,-2.7942,10.0988,74.16,92,56,2.8,GA,1610163413
ponta delgada,37.7333,-25.6667,51.8,71,40,5.75,PT,1610163414
umea,63.8284,20.2597,21.0,100,90,1.79,SE,1610163414
riyadh,24.6877,46.7219,50.0,87,0,4.61,SA,1610163242
port hardy,50.6996,-127.4199,44.6,100,75,4.61,CA,1610163414
kodinsk,58.6881,99.1844,-6.38,88,100,2.84,RU,1610163415
qaqortoq,60.7167,-46.0333,42.8,39,90,21.85,GL,1610163212
itarema,-2.9248,-39.9167,79.54,78,91,16.08,BR,1610163416
bathsheba,13.2167,-59.5167,78.8,78,75,18.41,BB,1610163325
mocajuba,-2.5842,-49.5072,74.01,97,99,3.04,BR,1610163193
sekoma,-24.4,23.8833,73.74,66,72,5.21,BW,1610163416
yaqui,27.3667,-110.1667,58.62,48,0,8.25,MX,1610163416
san cristobal,7.7669,-72.225,64.53,80,84,2.8,VE,1610163417
la rioja,42.25,-2.5,32.0,86,90,5.75,ES,1610163417
kant,27.8,79.8,69.26,49,0,7.99,IN,1610163417
nuuk,64.1835,-51.7216,26.6,43,1,31.07,GL,1610163418
rio grande,-32.035,-52.0986,71.04,87,0,12.48,BR,1610163407
amahai,-3.3333,128.9167,88.36,60,4,5.01,ID,1610163418
saurimo,-9.6608,20.3916,58.35,94,82,3.33,AO,1610163418
matara,5.9485,80.5353,81.73,77,100,3.74,LK,1610163419
flin flon,54.7682,-101.865,15.4,96,0,3.2,CA,1610163420
nantucket,41.2835,-70.0995,26.6,80,1,12.33,US,1610163420
natitingou,10.3042,1.3796,71.6,46,0,2.3,BJ,1610163420
sioux lookout,50.1001,-91.917,23.0,100,90,3.44,CA,1610163420
coahuayana,18.7333,-103.6833,69.8,78,40,3.33,MX,1610163421
urucara,-2.5364,-57.76,73.71,97,100,2.28,BR,1610163421
geraldton,-28.7667,114.6,89.6,43,90,13.8,AU,1610163421
lexington-fayette,38.0498,-84.4585,30.99,74,90,8.05,US,1610163421
zyryanka,65.75,150.85,-26.03,86,98,2.46,RU,1610163422
cuiluan,47.72,128.648,-7.51,81,93,7.27,CN,1610163422
nikolskoye,59.7035,30.7861,12.99,79,0,2.24,RU,1610163423
ipixuna,-1.7625,-48.8043,77.0,88,0,4.61,BR,1610163423
saint-philippe,-21.3585,55.7679,78.8,57,0,3.44,RE,1610163423
usakos,-22.0,15.6,73.15,71,100,3.06,NA,1610163424
brae,60.3964,-1.353,41.0,70,90,25.32,GB,1610163425
doha,25.2867,51.5333,62.6,55,0,2.3,QA,1610163408
sitka,57.0531,-135.33,37.4,93,90,6.91,US,1610163425
gusau,12.1628,6.6614,68.36,25,1,9.1,NG,1610163426
hasaki,35.7333,140.8333,46.0,22,20,6.91,JP,1610163181
ferry pass,30.5102,-87.2125,44.01,75,90,10.02,US,1610163250
ibra,22.6906,58.5334,53.55,41,0,10.45,OM,1610163427
coihaique,-45.5752,-72.0662,51.8,71,83,4.61,CL,1610163427
malyye derbety,47.9547,44.6808,37.81,90,100,8.25,RU,1610163427
pangnirtung,66.1451,-65.7125,5.14,76,100,0.43,CA,1610163427
katsuura,35.1333,140.3,46.4,27,20,17.27,JP,1610163428
san patricio,28.017,-97.5169,50.0,66,1,5.84,US,1610163213
busing,13.1514,122.9714,76.55,87,100,26.73,PH,1610163429
wilmington,34.2257,-77.9447,42.01,93,90,8.05,US,1610163297
moissala,8.3404,17.7663,65.71,27,57,0.94,TD,1610163429
port blair,11.6667,92.75,84.2,74,20,8.05,IN,1610163345
kirkwall,58.9848,-2.9587,35.6,80,75,19.57,GB,1610163430
caravelas,-17.7125,-39.2481,77.05,83,1,8.84,BR,1610163430
lipari,38.4674,14.954,57.0,85,16,5.01,IT,1610163430
carnot,4.9409,15.8665,65.05,27,99,3.83,CF,1610163430
jacmel,18.2342,-72.5347,75.2,83,100,9.22,HT,1610163431
lethem,3.3803,-59.7968,76.62,79,98,8.84,GY,1610163431
agirish,61.9247,63.0231,-16.22,89,27,2.04,RU,1610163431
kalmunai,7.4167,81.8167,79.86,83,100,7.96,LK,1610163431
redcliffe,-27.2307,153.0973,75.2,60,75,10.36,AU,1610163432
chipata,-13.6333,32.65,65.64,97,100,1.36,ZM,1610163432
la candelaria,9.6855,-63.4038,69.37,95,34,4.63,VE,1610163432
cochrane,51.1834,-114.4687,19.0,67,1,8.05,CA,1610163367
el retorno,2.3302,-72.6276,71.67,97,100,2.95,CO,1610163433
iskateley,67.6803,53.1512,-2.34,93,25,2.08,RU,1610163433
santa cruz,-17.8,-63.1667,77.0,83,62,8.05,BO,1610163433
boissevain,49.2306,-100.0559,28.4,100,90,2.8,CA,1610163433
rio gallegos,-51.6226,-69.2181,55.4,54,0,6.91,AR,1610163163
superior,46.7208,-92.1041,21.0,85,1,5.75,US,1610163300
henties bay,-22.116,14.2845,66.99,87,100,5.99,NA,1610163434
taitung,22.7583,121.1444,53.6,62,75,8.05,TW,1610163435
ust-nera,64.5667,143.2,-31.5,74,79,0.43,RU,1610163435
khromtau,50.2503,58.4347,15.96,97,100,17.29,KZ,1610163435
vardo,70.3705,31.1107,22.19,95,76,17.9,NO,1610163435
iquitos,-3.7481,-73.2472,77.0,94,20,2.3,PE,1610163435
zaraza,9.3503,-65.3245,71.85,96,25,2.59,VE,1610163436
snyder,32.7179,-100.9176,32.0,93,1,4.61,US,1610163436
sarahan,31.5167,77.8,45.1,45,0,4.41,IN,1610163436
mittagong,-34.45,150.45,79.0,56,80,4.0,AU,1610163436
dwarka,22.2394,68.9678,66.45,45,0,19.66,IN,1610163437
abha,18.2164,42.5053,48.2,66,0,2.42,SA,1610163437
sarh,9.1429,18.3923,68.0,56,0,3.91,TD,1610163437
necochea,-38.5473,-58.7368,52.0,91,1,8.84,AR,1610163223
vrangel,42.7297,133.0839,3.67,77,1,16.28,RU,1610163437
romanovka,51.7443,42.7527,27.39,98,100,5.75,RU,1610163438
imeni poliny osipenko,52.4201,136.4853,-13.95,86,100,6.67,RU,1610163438
derzhavinsk,51.1,66.3167,-1.25,86,100,12.57,KZ,1610163438
lata,40.1629,-8.3327,39.0,64,0,9.22,PT,1610163438
nanaimo,49.1663,-123.936,37.0,93,20,2.3,CA,1610163439
turiacu,-1.6633,-45.3717,76.77,86,43,5.68,BR,1610163439
mehamn,71.0357,27.8492,17.73,91,12,9.91,NO,1610163439
porto torres,40.835,8.3972,48.2,87,40,10.36,IT,1610163440
port hawkesbury,45.6169,-61.3485,28.99,93,90,11.5,CA,1610163440
tutrakan,44.05,26.6167,36.0,93,100,12.57,BG,1610163440
husavik,66.0449,-17.3389,15.8,86,90,16.11,IS,1610163440
juneau,58.3019,-134.4197,37.99,87,90,14.97,US,1610163426
tootsi,58.5781,24.7925,24.01,69,28,14.0,EE,1610163441
san rafael del sur,11.8485,-86.4384,75.2,78,20,6.91,NI,1610163441
sur,22.5667,59.5289,66.72,41,0,18.5,OM,1610163442
noshiro,40.2039,140.0242,23.0,93,75,8.05,JP,1610163442
wroclaw,51.1,17.0333,34.0,93,75,6.91,PL,1610163342
kaeo,-35.1,173.7833,74.48,65,36,8.16,NZ,1610163442
alamos,27.0167,-108.9333,62.91,29,4,2.64,MX,1610163442
cusuna,15.85,-85.2333,72.34,82,50,2.48,HN,1610163443
camocim,-2.9022,-40.8411,77.99,83,52,11.14,BR,1610163303
ferrol,43.4832,-8.2369,41.0,100,70,10.8,ES,1610163443
port hedland,-20.3167,118.5667,104.0,24,90,8.05,AU,1610163443
sri aman,1.2376,111.4621,84.2,79,20,1.14,MY,1610163444
zhovtneve,50.6637,24.2492,28.87,96,33,6.73,UA,1610163444
fort-shevchenko,44.5086,50.263,36.19,82,100,20.15,KZ,1610163444
bastia,42.6667,9.3333,48.0,93,90,2.3,FR,1610163444
santa maria del oro,25.9333,-105.3667,49.3,47,3,0.83,MX,1610163444
waipawa,-41.4122,175.5153,66.0,68,90,8.05,NZ,1610163202
inirida,3.8653,-67.9239,69.76,97,100,1.57,CO,1610163445
timra,62.487,17.3257,26.01,93,90,3.44,SE,1610163445
tonj,7.2737,28.6822,70.12,30,0,6.24,SS,1610163445
portland,45.5234,-122.6762,43.0,87,20,1.07,US,1610163207
coquimbo,-29.9533,-71.3436,59.0,82,90,4.61,CL,1610163446
montepuez,-13.1256,38.9997,69.82,95,100,3.38,MZ,1610163446
general roca,-39.0333,-67.5833,73.4,28,0,8.05,AR,1610163446
petropavlovsk-kamchatskiy,53.0452,158.6483,8.6,52,0,2.24,RU,1610163447
suraabad,40.8192,49.4687,44.6,87,40,16.11,AZ,1610163447
khasan,42.4308,130.6434,9.18,77,20,18.72,RU,1610163447
casa nova,-9.4167,-41.1333,84.2,51,0,9.22,BR,1610163447
san pedro buenavista,16.0833,-93.1167,68.0,73,40,10.36,MX,1610163447
